longitude,latitude, traffic 
127.14789,36.13531,"  49,340 "
127.25067,36.18669,"  50,392 "
127.10339,36.04553,"  87,521 "
127.05764,35.89876,"  51,149 "
127.08241,35.93609,"  53,336 "
127.10069,35.95605,"  82,248 "
127.05008,35.85277,"  47,066 "
127.02355,35.79813,"  44,257 "
126.99812,35.74954,"  43,413 "
126.9493,35.69618,"  47,227 "
126.85345,35.59525,"  44,773 "
126.79494,35.47619,"  43,214 "
126.82181,35.55003,"  41,903 "
126.79435,35.31916,"  50,226 "
126.78384,35.29029,"  49,322 "
126.81644,35.35076,"  43,345 "
126.79101,35.28054,"  51,342 "
126.81547,35.2434,"  39,444 "
126.87452,35.18974,"  144,404 "
126.85385,35.19288,"  101,966 "
126.83261,35.20883,"  64,257 "
126.82702,35.22156,"  43,434 "
126.91393,35.18309,"  95,782 "
126.89063,35.18456,"  135,257 "
126.94991,35.21903,"  52,455 "
126.92889,35.18908,"  56,629 "
126.98349,35.226,"  33,069 "
127.16588,35.25552,"  36,022 "
127.08656,35.26455,"  43,017 "
127.01695,35.24175,"  29,802 "
127.25354,35.16242,"  33,480 "
127.24394,35.1199,"  33,977 "
127.2918,35.04121,"  36,752 "
127.44935,35.00834,"  38,074 "
127.49619,34.99294,"  30,986 "
126.53718,34.74576,"  12,466 "
126.6159,34.72588,"  13,116 "
126.82825,34.67996,"  10,584 "
126.98768,34.75371,"  12,135 "
127.195,34.81994,"  19,547 "
127.31149,34.83289,"  22,357 "
127.43788,34.87791,"  27,367 "
127.51195,34.90021,"  27,738 "
127.13769,37.2886,"  151,483 "
127.18363,37.27082,"  147,654 "
127.19714,37.26252,"  159,558 "
127.25661,37.24579,"  147,495 "
127.34276,37.2517,"  128,286 "
127.40866,37.24016,"  125,828 "
127.47436,37.24512,"  141,206 "
127.54935,37.24003,"  126,558 "
127.61529,37.24002,"  53,809 "
127.80709,37.2767,"  46,002 "
127.88239,37.34948,"  42,657 "
127.92883,37.38152,"  29,034 "
127.93921,37.4007,"  47,300 "
128.05574,37.44826,"  42,343 "
128.18302,37.49017,"  38,106 "
128.22317,37.49635,"  37,121 "
128.32947,37.55679,"  37,285 "
128.38943,37.56977,"  35,543 "
128.43186,37.60829,"  36,795 "
128.55278,37.64809,"  35,618 "
128.63597,37.67401,"  34,480 "
128.80106,37.75706,"  34,622 "
128.54407,38.18384,"  13,231 "
128.58303,38.10942,"  24,020 "
128.65555,38.04358,"  20,008 "
129.09486,37.54738,"  24,665 "
129.05172,37.61599,"  28,095 "
128.8385,37.75858,"  36,946 "
128.8219,37.80711,"  19,535 "
128.81578,37.84658,"  19,036 "
128.77368,37.93214,"  21,314 "
127.53042,34.99046,"  21,132 "
127.59371,34.98169,"  25,093 "
127.63452,34.96623,"  32,853 "
127.68128,34.98982,"  28,790 "
127.72899,34.98574,"  32,074 "
127.78739,34.98836,"  33,722 "
127.8477,35.01975,"  38,926 "
127.91581,35.05133,"  44,362 "
128.00405,35.07467,"  45,481 "
128.10165,35.14663,"  78,858 "
128.07168,35.10451,"  47,110 "
128.09507,35.12257,"  69,176 "
128.14799,35.1694,"  68,041 "
128.16631,35.1733,"  71,627 "
128.22957,35.19531,"  74,479 "
128.2717,35.23095,"  76,429 "
128.32886,35.28429,"  78,797 "
128.36577,35.29277,"  88,707 "
128.42794,35.27929,"  94,747 "
128.50137,35.2638,"  37,555 "
128.5453,35.23854,"  62,236 "
128.57848,35.2456,"  54,623 "
128.6182,35.26788,"  49,145 "
128.66231,35.27075,"  116,556 "
128.7083,35.27898,"  121,665 "
128.74751,35.26929,"  88,686 "
128.76661,35.23246,"  98,837 "
128.78425,35.22581,"  87,692 "
128.82167,35.22413,"  64,716 "
128.87598,35.22211,"  78,961 "
128.90957,35.22476,"  105,131 "
128.99821,35.21624,"  70,638 "
128.95244,35.22267,"  67,190 "
128.7962,35.2061,"  69,455 "
128.81325,35.19382,"  66,654 "
128.82444,35.17728,"  64,662 "
128.93108,35.15945,"  95,803 "
128.96589,35.15363,"  129,817 "
128.08851,35.14078,"  35,796 "
128.52753,35.88303,"  132,827 "
128.52676,35.84285,"  67,477 "
128.51749,35.82634,"  118,450 "
128.50335,35.81255,"  105,025 "
128.46727,35.79811,"  97,006 "
128.46709,35.78566,"  55,650 "
128.45946,35.7243,"  44,668 "
128.43502,35.69216,"  39,883 "
128.46523,35.58647,"  57,472 "
128.50571,35.50559,"  53,820 "
128.5046,35.44177,"  54,319 "
128.49318,35.35717,"  55,390 "
128.51626,35.26996,"  26,517 "
128.50008,35.29344,"  63,627 "
129.14067,35.55779,"  40,814 "
129.25561,35.55497,"  48,367 "
129.23272,35.5662,"  38,558 "
128.43262,35.77125,"  39,746 "
128.36895,35.75672,"  43,127 "
128.29686,35.7212,"  35,019 "
128.19331,35.69667,"  29,339 "
127.96779,35.70885,"  23,759 "
128.06555,35.70696,"  25,130 "
127.8635,35.58886,"  18,126 "
127.62512,35.52665,"  14,539 "
127.76292,35.53239,"  17,253 "
127.44091,35.44969,"  16,010 "
127.562,35.47912,"  14,845 "
127.15278,35.3654,"  20,364 "
127.34555,35.41694,"  15,157 "
127.07321,35.346,"  22,620 "
126.97268,35.26437,"  29,140 "
126.96171,35.23866,"  22,804 "
126.62554,35.07623,"  39,103 "
126.56465,35.06087,"  37,866 "
126.50957,35.03733,"  35,025 "
126.46269,35.01887,"  9,726 "
126.41022,35.0058,"  2,234 "
127.20819,37.53118,"  151,118 "
127.22089,37.51624,"  139,452 "
127.23663,37.49473,"  74,181 "
127.31512,37.38589,"  57,448 "
127.3179,37.36355,"  48,573 "
127.3788,37.28996,"  50,812 "
127.39672,37.27221,"  39,629 "
127.41988,37.25015,"  83,950 "
127.32545,37.34055,"  54,548 "
127.44348,37.19843,"  79,491 "
127.48068,37.03308,"  64,093 "
127.44562,37.10216,"  75,190 "
127.48052,37.01113,"  62,189 "
127.47614,36.90186,"  74,755 "
127.46887,36.95851,"  63,983 "
127.48651,36.85402,"  76,392 "
127.46923,36.74572,"  86,523 "
127.42854,36.69853,"  75,232 "
127.44575,36.71918,"  69,981 "
127.4199,36.60647,"  68,824 "
127.41893,36.63361,"  73,058 "
126.70163,37.43347,"  149,913 "
126.64,37.44236,"  65,849 "
126.66978,37.4375,"  111,539 "
126.73102,37.43313,"  260,486 "
126.73913,37.41394,"  158,952 "
126.76353,37.38189,"  175,163 "
126.78785,37.35522,"  101,993 "
126.82055,37.35015,"  138,195 "
126.85409,37.34619,"  158,149 "
126.88856,37.2627,"  122,014 "
126.8799,37.13472,"  117,520 "
126.89625,37.4302,"  148,753 "
126.89734,37.30502,"  136,903 "
126.8802,37.32157,"  117,532 "
126.87074,37.20152,"  108,277 "
127.08311,37.29241,"  167,785 "
127.0234,37.31331,"  179,426 "
126.97751,37.32023,"  161,978 "
126.9546,37.32647,"  152,701 "
126.93078,37.32885,"  138,981 "
126.8878,37.3277,"  137,064 "
126.91121,37.32316,"  145,688 "
128.98253,35.29077,"  48,000 "
128.86684,35.36052,"  43,317 "
128.78063,35.43466,"  45,765 "
128.78409,35.49529,"  46,730 "
128.7922,35.5414,"  47,823 "
128.73885,35.72602,"  46,366 "
128.68812,35.85269,"  60,168 "
128.68643,35.87969,"  82,771 "
128.52726,35.91562,"  53,110 "
128.53744,35.93993,"  43,327 "
128.53437,36.02419,"  62,277 "
128.53572,36.06641,"  59,914 "
128.54647,36.15299,"  45,080 "
128.55432,36.18915,"  49,122 "
128.5757,36.26546,"  44,668 "
128.58561,36.3924,"  41,491 "
128.61894,36.45277,"  33,656 "
128.64062,36.54366,"  26,385 "
128.56453,36.61321,"  23,479 "
128.57671,36.75302,"  22,648 "
128.547,36.80747,"  19,550 "
128.4435,36.8998,"  23,119 "
128.29041,36.97453,"  22,756 "
128.22398,37.04886,"  27,370 "
128.17944,37.07798,"  23,485 "
128.16328,37.08768,"  19,420 "
128.12971,37.18395,"  38,025 "
127.98536,37.29655,"  37,564 "
127.9068,37.35719,"  47,204 "
127.89508,37.37564,"  40,546 "
127.95362,37.49251,"  24,045 "
127.9378,37.62536,"  22,858 "
127.89544,37.40581,"  22,280 "
127.83599,37.70817,"  25,639 "
127.76936,37.78679,"  35,670 "
126.75249,37.43243,"  85,373 "
126.81173,37.43461,"  136,294 "
126.82557,37.44007,"  148,021 "
126.87441,37.43041,"  143,195 "
126.89869,37.42356,"  145,686 "
126.86756,37.37914,"  126,617 "
126.8613,37.35155,"  202,888 "
126.87472,37.40183,"  168,959 "
126.89011,37.41241,"  181,406 "
126.89765,37.44651,"  111,247 "
129.03025,35.32855,"  96,905 "
129.01403,35.31566,"  90,170 "
128.97755,35.22825,"  87,115 "
128.98424,35.24808,"  109,996 "
128.98467,35.27593,"  102,019 "
127.11452,37.40825,"  226,019 "
127.12352,37.4425,"  199,702 "
127.13571,37.48338,"  233,288 "
127.18927,37.52046,"  184,195 "
127.18691,37.53562,"  248,729 "
127.16861,37.56933,"  269,244 "
127.16258,37.57669,"  195,700 "
127.15687,37.59292,"  201,760 "
127.14558,37.60823,"  200,452 "
127.13559,37.63213,"  193,127 "
127.01916,37.39274,"  172,242 "
126.98221,37.38099,"  173,946 "
126.95747,37.37917,"  153,905 "
126.87754,37.36899,"  176,358 "
126.80754,37.4467,"  156,501 "
126.78242,37.4582,"  157,737 "
126.83785,37.40582,"  146,322 "
126.85662,37.37744,"  180,697 "
126.75274,37.47585,"  247,125 "
126.74608,37.4932,"  254,412 "
126.75021,37.51701,"  245,985 "
126.75162,37.53378,"  221,463 "
126.75188,37.55822,"  226,207 "
126.76022,37.58629,"  193,375 "
126.78407,37.60226,"  200,545 "
126.80415,37.62843,"  192,863 "
126.81538,37.65398,"  138,775 "
126.83151,37.66696,"  140,383 "
126.86624,37.66952,"  159,467 "
126.90957,37.67523,"  149,949 "
127.00624,37.72105,"  154,689 "
127.04382,37.70174,"  167,321 "
127.11255,37.66591,"  133,902 "
127.12793,37.64612,"  120,134 "
128.51764,35.46517,"  11,377 "
128.68886,35.49767,"  9,857 "
128.92382,35.50295,"  13,553 "
129.08146,35.52435,"  14,918 "
129.18478,35.4984,"  20,367 "
127.4812,36.33622,"  55,998 "
127.46256,36.29976,"  51,311 "
127.43,36.27834,"  41,815 "
127.35844,36.28892,"  44,506 "
127.31948,36.29304,"  49,338 "
128.97981,35.19519,"  79,776 "
126.86951,37.00686,"  126,096 "
126.88692,37.08202,"  106,158 "
126.79286,36.94293,"  97,253 "
126.87089,36.97754,"  107,728 "
126.75254,36.91378,"  87,311 "
126.5919,36.83248,"  49,024 "
126.68977,36.87897,"  74,818 "
126.57048,36.75859,"  36,523 "
126.55829,36.65203,"  40,394 "
126.57875,36.56052,"  33,909 "
126.56029,36.40717,"  31,374 "
126.59203,36.19145,"  27,942 "
126.57332,36.27039,"  25,711 "
126.65082,36.10655,"  26,914 "
126.79524,36.02228,"  34,483 "
126.73423,36.0767,"  22,829 "
126.83326,35.97783,"  29,640 "
126.84425,35.88712,"  32,141 "
126.81551,35.78056,"  33,986 "
126.73627,35.67612,"  35,082 "
126.69181,35.55079,"  32,238 "
126.6781,35.47752,"  33,327 "
126.61344,35.38474,"  18,589 "
126.65841,35.42747,"  33,901 "
126.48155,35.10396,"  15,687 "
126.54443,35.27468,"  15,287 "
126.49075,35.01748,"  38,217 "
126.48221,35.04625,"  15,978 "
126.49514,34.97787,"  36,834 "
126.47684,34.85385,"  34,438 "
127.50138,36.15055,"  29,123 "
127.57028,36.03518,"  25,235 "
127.46222,36.27311,"  48,473 "
127.48472,36.22478,"  35,602 "
127.84589,36.99067,"  57,885 "
127.61191,37.19998,"  82,488 "
128.2014,36.47084,"  58,021 "
127.88303,36.91819,"  56,846 "
128.23908,36.37342,"  58,469 "
128.22154,36.33212,"  58,618 "
128.25911,36.19759,"  58,387 "
127.75851,37.04114,"  63,592 "
127.72826,37.05389,"  76,427 "
128.14658,36.54496,"  57,378 "
128.16038,36.60588,"  59,471 "
128.09023,36.72932,"  57,831 "
127.98296,36.78994,"  55,918 "
128.42757,34.87099,"  23,311 "
128.41045,34.89966,"  32,765 "
128.37962,34.97689,"  30,983 "
128.33082,35.02052,"  21,527 "
128.12221,35.13134,"  20,749 "
127.99604,35.23105,"  30,525 "
127.87291,35.40541,"  29,505 "
127.8379,35.47622,"  29,678 "
127.77358,35.52939,"  30,617 "
127.75631,35.56724,"  30,019 "
127.72152,35.63034,"  30,867 "
127.64358,35.69451,"  30,517 "
127.61444,35.78223,"  21,087 "
127.66565,35.90642,"  21,203 "
127.11877,35.91569,"  35,917 "
127.28008,35.79874,"  17,817 "
127.46625,35.77462,"  16,420 "
127.16157,35.89203,"  35,374 "
127.21047,35.86731,"  15,971 "
127.59777,35.71978,"  15,773 "
128.65142,35.90878,"  28,864 "
128.66811,35.92464,"  42,371 "
128.85083,35.98268,"  33,826 "
128.90659,36.02982,"  40,898 "
128.9757,36.05391,"  37,786 "
129.03571,36.05391,"  36,401 "
129.26749,36.04888,"  35,230 "
127.40067,37.26952,"  47,339 "
127.30304,37.41438,"  69,766 "
128.49238,35.27915,"  54,775 "
128.57884,35.28906,"  75,628 "
128.61659,35.2833,"  73,691 "
127.11069,36.09758,"  44,475 "
128.95541,35.25209,"  38,894 "
128.99608,35.28604,"  106,450 "
126.48587,37.47098,"  78,028 "
126.49718,37.49675,"  58,580 "
126.53689,37.51759,"  129,734 "
126.51801,37.50914,"  99,359 "
126.57446,37.54244,"  132,925 "
126.65058,37.56748,"  83,418 "
126.69179,37.57017,"  125,076 "
126.76937,37.579,"  84,611 "
126.80846,37.58562,"  67,389 "
126.8297,37.59065,"  40,066 "
127.07491,36.11652,"  37,651 "
127.05696,36.1528,"  37,340 "
127.06433,36.27132,"  40,674 "
127.07435,36.3924,"  41,069 "
127.09141,36.46251,"  45,886 "
127.09555,36.4928,"  54,928 "
127.10509,36.50425,"  61,825 "
127.11827,36.68673,"  71,990 "
127.15176,36.73205,"  58,683 "
127.17277,36.76272,"  61,749 "
126.90583,37.05033,"  102,774 "
126.96819,37.03513,"  106,846 "
127.00013,37.02404,"  85,122 "
127.05948,37.02489,"  75,615 "
127.13105,37.0342,"  91,410 "
127.15201,37.0368,"  77,757 "
127.76549,37.03807,"  25,143 "
127.84924,37.05585,"  27,642 "
127.9436,37.06191,"  22,018 "
127.16537,37.02869,"  63,575 "
127.48385,36.94233,"  47,626 "
127.57716,36.96218,"  42,802 "
127.62748,36.99465,"  36,609 "
127.67902,37.00933,"  31,547 "
127.33299,36.98037,"  52,437 "
127.46142,36.94264,"  49,980 "
128.39809,35.72478,"  35,869 "
128.35612,35.78833,"  35,231 "
128.32083,35.85015,"  33,171 "
128.23769,35.96468,"  33,821 "
128.27266,36.10867,"  32,417 "
126.66267,35.40918,"  20,443 "
126.70719,35.3768,"  25,790 "
126.78798,35.34326,"  25,864 "
126.81004,35.32583,"  15,969 "
126.91014,35.25374,"  23,861 "
126.99792,35.25039,"  13,415 "
127.46736,36.55403,"  46,367 "
127.55417,36.51199,"  52,278 "
127.63266,36.47478,"  50,051 "
127.75952,36.45447,"  45,131 "
127.84739,36.45499,"  44,191 "
128.03038,36.42858,"  42,872 "
128.1818,36.37412,"  42,979 "
129.20343,35.20804,"  50,984 "
129.20754,35.23187,"  60,156 "
129.22578,35.30495,"  56,102 "
129.24672,35.3745,"  48,630 "
129.28178,35.44705,"  47,531 "
129.27755,35.48618,"  44,863 "
129.25317,35.50826,"  36,227 "
129.24766,35.5229,"  33,024 "
129.258,35.56393,"  24,752 "
129.296,35.72324,"  24,744 "
129.41708,35.77432,"  23,050 "
129.41381,35.81899,"  22,681 "
129.19909,37.39986,"  8,370 "
129.09272,37.50472,"  16,381 "
128.9316,37.6887,"  28,622 "
128.84112,37.7417,"  23,449 "
126.70576,35.10633,"  41,440 "
126.74407,35.1324,"  49,325 "
126.98513,37.019,"  96,444 "
126.83142,36.27044,"  2,855 "
126.78878,36.4246,"  19,509 "
126.7805,36.62631,"  20,890 "
126.78658,36.65903,"  21,887 "
126.81053,36.74468,"  34,085 "
126.9062,36.8464,"  34,777 "
126.92156,36.86917,"  35,841 "
126.91245,36.91591,"  39,481 "
126.91562,36.92676,"  41,624 "
126.95537,36.96044,"  16,401 "
126.89668,36.94864,"  32,364 "
126.87781,36.96396,"  34,348 "
126.98465,37.0453,"  87,018 "
126.99268,37.07218,"  90,799 "
126.99422,37.11187,"  93,484 "
126.99788,37.15963,"  104,831 "
126.96171,37.22077,"  99,684 "
126.9492,37.25474,"  42,299 "
126.94756,37.2922,"  68,527 "
126.93224,37.30722,"  84,109 "
126.92212,37.3328,"  88,444 "
126.85875,37.40793,"  58,285 "
126.62889,36.8377,"  25,354 "
126.65705,36.80981,"  26,881 "
126.72797,36.73484,"  24,349 "
126.77863,36.67384,"  31,418 "
126.80286,36.66023,"  30,543 "
126.90687,36.58985,"  33,823 "
126.98945,36.54589,"  35,673 "
127.05027,36.48363,"  38,214 "
127.07975,36.48645,"  56,957 "
127.10485,36.48485,"  35,279 "
127.16399,36.49739,"  41,561 "
127.21969,36.48744,"  39,910 "
127.30753,36.40059,"  53,919 "
127.17206,37.57678,"  199,351 "
127.18367,37.5799,"  159,027 "
127.19741,37.58601,"  103,063 "
127.21349,37.59589,"  91,870 "
127.31526,37.63118,"  89,468 "
127.32774,37.63368,"  70,866 "
127.40125,37.63692,"  67,659 "
127.50849,37.67634,"  58,335 "
127.65685,37.7405,"  59,757 "
127.73943,37.75709,"  47,175 "
127.78527,37.75679,"  46,634 "
127.80865,37.75689,"  40,940 "
128.0179,37.7576,"  33,919 "
128.23418,37.84202,"  33,516 "
128.43858,37.97798,"  32,255 "
128.54385,38.01495,"  32,454 "
129.20026,35.18705,"  50,242 "
126.77687,36.04982,"  4,631 "
126.77486,36.0784,"  26,645 "
126.79252,36.2469,"  28,493 "
126.84116,36.29021,"  22,089 "
126.86751,36.31099,"  22,236 "
126.97669,36.38724,"  23,355 "
127.06515,36.46721,"  27,229 "
127.00628,37.18415,"  55,929 "
127.08305,37.17853,"  80,007 "
127.01383,37.17077,"  82,262 "
126.98331,37.17912,"  103,951 "
126.9672,37.19033,"  111,643 "
127.55159,34.97374,"  16,822 "
127.50069,35.05304,"  26,598 "
127.45153,35.19382,"  24,901 "
127.37791,35.31607,"  28,878 "
127.31524,35.38761,"  30,752 "
127.31717,35.44753,"  27,914 "
127.30693,35.52035,"  27,364 "
127.33483,35.61512,"  30,782 "
127.28274,35.67885,"  31,585 "
127.19737,35.80195,"  26,656 "
127.18664,35.86215,"  27,447 "
127.5876,37.23995,"  27,227 "
127.57915,37.28266,"  21,844 "
127.5643,37.32595,"  24,462 "
127.47176,37.46834,"  26,646 "
127.45056,37.51794,"  23,100 "
126.51044,37.47229,"  75,988 "
127.07708,37.27942,"  81,168 "
127.054,37.31976,"  125,470 "
127.05909,37.34335,"  124,531 "
127.06263,37.36363,"  122,244 "
127.0794,37.40817,"  102,193 "
127.08951,37.42265,"  55,971 "
127.08886,37.43632,"  46,028 "
126.85633,37.07359,"  55,035 "
126.80493,37.14553,"  58,401 "
126.76879,37.19703,"  68,310 "
126.75675,37.24436,"  75,263 "
126.74978,37.30768,"  61,733 "
126.76815,37.35355,"  62,573 "
127.32894,37.37471,"  52,079 "
127.49796,37.37684,"  48,439 "
127.57143,37.38557,"  45,327 "
127.6244,37.38993,"  43,031 "
127.70046,37.40142,"  41,216 "
127.80013,37.4008,"  40,028 "
127.86822,37.39461,"  43,011 "
127.92315,37.38639,"  16,604 "
129.01115,35.96261,"  21,405 "
128.94257,36.00664,"  21,775 "
128.85546,36.04604,"  30,094 "
128.75743,36.05964,"  31,668 "
128.60955,36.13195,"  33,180 "
128.53651,36.18512,"  30,331 "
128.4326,36.26362,"  29,960 "
128.2888,36.36013,"  27,438 "
128.25585,36.3713,"  41,082 "
126.62736,37.50911,"  77,035 "
126.62066,37.5437,"  74,854 "
126.62296,37.58796,"  75,176 "
126.60546,37.62564,"  42,201 "
126.61885,37.66195,"  25,611 "
128.77214,35.12821,"  14,558 "
128.78473,35.17518,"  34,679 "
128.77437,35.22058,"  25,387 "
127.3161,37.00825,"  24,050 "
127.30491,37.02837,"  35,521 "
127.2992,37.08158,"  37,468 "
127.25933,37.23071,"  37,853 "
127.25111,37.25766,"  45,527 "
127.22452,37.31436,"  67,224 "
127.22085,37.34629,"  72,911 "
127.22103,37.35426,"  62,017 "
127.21946,37.36412,"  76,105 "
127.19161,37.40494,"  68,432 "
127.16839,37.51673,"  95,029 "
127.16088,37.53111,"  94,893 "
127.15233,37.56909,"  75,659 "
127.11495,37.60556,"  88,557 "
127.13354,37.65674,"  85,566 "
127.12466,37.69449,"  89,732 "
127.11883,37.73961,"  88,965 "
127.11888,37.76242,"  73,710 "
127.13543,37.80743,"  71,483 "
127.15795,37.82641,"  62,682 "
127.19676,37.86594,"  45,704 "
127.22536,37.90024,"  31,450 "
126.91009,37.42464,"  91,095 "
126.97608,37.41247,"  94,273 "
126.99293,37.4036,"  98,254 "
127.03339,37.39938,"  69,393 "
127.10883,37.41828,"  48,747 "
126.98161,36.81958,"  14,932 "
127.09597,36.77049,"  24,530 "
127.16237,36.7634,"  30,027 "
127.38277,36.71294,"  18,535 "
127.44435,36.74504,"  9,586 "
128.28248,36.37532,"  9,170 "
128.31722,36.37543,"  11,006 "
128.46737,36.40611,"  9,960 "
128.66586,36.42001,"  11,742 "
128.76186,36.41599,"  11,471 "
128.93845,36.43909,"  14,958 "
129.07296,36.47543,"  11,190 "
129.23779,36.43858,"  10,697 "
126.84311,37.60374,"  8,945 "
126.85109,37.59463,"  45,079 "
126.85579,37.61378,"  53,706 "
126.84678,37.64486,"  67,826 "
126.85249,37.67964,"  97,937 "
126.80224,37.70703,"  86,396 "
126.79701,37.73486,"  58,386 "
126.78385,37.77446,"  28,321 "
126.78269,37.81435,"  19,039 "
126.76834,37.84287,"  11,830 "
126.9536,37.1981,"  16,401 "
126.91874,37.20931,"  44,384 "
126.88209,37.19559,"  38,337 "
126.83355,37.18767,"  31,042 "
126.80179,37.18948,"  19,493 "
126.78172,37.18773,"  23,214 "
127.3328,37.29001,"  10,788 "
127.32177,37.28515,"  16,837 "
127.20248,37.27458,"  40,199 "
127.18274,37.2665,"  62,841 "
127.15217,37.23803,"  65,731 "
127.13121,37.20219,"  50,986 "
126.97219,37.84821,"  14,579 "
127.032,37.85384,"  24,246 "
127.08185,37.84679,"  20,477 "
127.09343,37.84035,"  23,618 "
127.13444,37.82427,"  32,087 "
127.15158,37.811,"  25,397 "
127.22216,37.77898,"  21,712 "
127.28014,37.73989,"  21,926 "
127.30616,37.71717,"  22,897 "
127.33003,37.68245,"  26,108 "
127.31912,37.63617,"  22,129 "
127.31827,37.62828,"  31,020 "
127.38562,37.56125,"  27,006 "
127.34186,37.58447,"  25,655 "
126.77124,35.21123,"  12,192 "
126.79516,35.24722,"  14,301 "
128.75475,35.29503,"  33,426 "
128.77791,35.3006,"  40,276 "
128.84227,35.29407,"  41,604 "
128.92838,35.29177,"  52,513 "
128.99235,35.27007,"  67,880 "
129.04842,35.28864,"  64,219 "
129.10556,35.28524,"  60,890 "
129.13442,35.28657,"  52,357 "
129.18085,35.27809,"  55,683 "
128.47453,35.83998,"  12,531 "
128.46754,35.86488,"  22,453 "
128.48275,35.90602,"  26,928 "
128.51157,35.91472,"  17,734 "
128.54824,35.95125,"  15,184 "
128.61277,35.93718,"  35,871 "
128.68761,35.90213,"  36,991 "
128.7011,35.89527,"  34,717 "
126.36491,34.80189,"  17,500 "
126.42727,34.85192,"  20,624 "
126.42809,34.91523,"  17,884 "
126.49256,35.00257,"  5,907 "
126.51957,35.017,"  8,934 "
126.4407,34.94122,"  12,360 "
126.58828,35.03175,"  7,623 "
126.63646,35.02191,"  9,260 "
126.65488,34.99062,"  5,436 "
126.71861,34.97381,"  38,777 "
126.75753,34.99084,"  42,971 "
126.77714,35.02706,"  57,512 "
126.78885,35.03952,"  46,210 "
126.82956,35.04209,"  37,757 "
126.84206,35.0637,"  40,002 "
126.78822,35.2865,"  33,153 "
126.80984,35.33405,"  8,417 "
126.82391,35.3418,"  5,098 "
126.87442,35.38399,"  3,841 "
126.85169,35.42047,"  6,453 "
126.81289,35.45147,"  3,604 "
126.87495,35.58969,"  19,123 "
126.82604,35.51534,"  6,585 "
126.90344,35.62947,"  23,142 "
126.96828,35.66929,"  18,000 "
127.00333,35.77453,"  22,319 "
127.0351,35.78758,"  30,038 "
127.05106,35.79283,"  28,744 "
127.05822,35.79995,"  33,370 "
127.0453,35.86881,"  49,895 "
127.06131,35.92503,"  17,512 "
127.0547,35.91078,"  20,988 "
127.05307,35.9762,"  12,513 "
127.08763,36.01661,"  9,005 "
127.08061,36.05245,"  8,910 "
127.0983,36.1057,"  11,970 "
127.10501,36.14511,"  14,034 "
127.18503,36.21012,"  26,046 "
127.26313,36.3551,"  18,027 "
127.29258,36.58527,"  19,652 "
127.25821,36.40916,"  12,603 "
127.28965,36.56831,"  36,290 "
127.25941,36.6548,"  22,545 "
127.28963,36.62718,"  26,255 "
127.18131,36.67996,"  20,392 "
127.15435,36.69559,"  42,878 "
127.17126,36.76035,"  28,851 "
127.14593,36.88058,"  54,113 "
127.13104,36.95295,"  27,523 "
127.06527,37.0418,"  36,543 "
